Name, Price
"RAF Wet And Dry Vacuum Cleaner With Dust Bag - Black/Blue","GH₵ 1,379.00"
"Foldable Storage Crate - 4 Pcs - White","GH₵ 146.00"
"Set of Colander - 4 Pcs - Silver/Brown","GH₵ 129.00"
"Luxury one and half mattress-8 inches","GH₵ 1,880.00"
"Food Storage Containers - 3 Pcs - Silver/Green","GH₵ 299.00"
"Nasco NASTT-B50FL- 5kg Semi Automatic Twin Tub Washing Machine - White/Black","GH₵ 1,686.00"
"Roch RFR-140T-B - 117Liters Double Door Refrigerator - Silver","GH₵ 2,965.00"
"Asano 1.5 HP -  Split Air Conditioner AS-15 Gas -  White + 12 Month Warranty","GH₵ 3,662.79"
"Mitsui 145 Litres - ME-186A Chest Freezer - Silver","GH₵ 3,081.40"
"The Glenlivet Founder's Reserve Single Malt Scotch Whisky - 700ml","GH₵ 580.61"
"NIVEA Radiant & Beauty Advanced Care Body Lotion - 400ml x 2","GH₵ 263.21"
"Westpool Wp 3401B - 4 Burner - 50 x 50 - Gas Cooker - Glass Top - Black","GH₵ 1,976.74"
"SMECO 32" - Frameless Digital Satellite TV - USB - HDMI -  Black.","GH₵ 1,340.66"
"Infinix Smart 9 HD - Dual SIM - 4G - 6.6" - 64GB ROM - 3GB RAM - 50MP Rear/8MP Front - 5000mAh - Metallic Black + 13 Months Warranty + Free Car Charger & Fabric Speaker","GH₵ 1,400.00"
"Mitsui 100 Litres - ME-136 Chest Freezer - Silver","GH₵ 2,674.00"
"Itel A50C 4G Lite - 6.56'' - 32GB ROM - 2GB RAM - 8MP Rear /5MP Front - 4000mAh - Black + 12 Months Warranty","GH₵ 947.00"
"Infinix Hot 50i - 6.78'' Display - 128GB ROM - 4GB RAM - 48MP Rear - 8MP Front - 5000mAh - Sleek Black + 12 Months Warranty + Free Gradient Water Bottle","GH₵ 1,665.00"
"Infinix Hot 50 Pro Plus - 6.78'' Display - 256GB ROM - 8GB RAM - 48MP Rear/8MP Front - 5000mAh - Sleek Black + 12 Months Warranty + Free Giftbox","GH₵ 3,252.13"
"Westpool WP-187A  Double Door Fridge - 138 Liters - Silver","GH₵ 3,546.51"
"DELL Refurbished Latitude E7470 14" - 6th Gen - Core i5-5300U - 8GB RAM - 256GB SSD - Win 10 - Black","GH₵ 3,345.45"
"Nexus 2.0HP - Freon R410A Eco Friendly Split Air Conditioner (NX-AC-18NR4) - White","GH₵ 5,738.00"
"AILYONS AF-151SL Flip-top 142 Litres Chest Freezer Reliable Quality - 142L - Grey (1YR WRTY)","GH₵ 3,103.00"
"Tamashi NG6640G 4 Burner Gas Cooker - 60x60 - Silver/Black","GH₵ 3,046.51"
"Westpool WP - 167A Double Door Refrigerator - 112Liters - Silver","GH₵ 3,023.26"
"Nexus 15KG Twin Tub Washing Machine With Spin (NX-WM-15G) - White","GH₵ 4,318.00"
"Delron DCF-608D Double Door Chest Freezer-608Litres","GH₵ 9,329.00"
"Delron 258 Litres - Display/Showcase Chest Freezer - Grey","GH₵ 6,099.00"
"Vizio AC - 300 Evaporative Air Cooler with Mosquito Repellent - 30 Litres","GH₵ 3,180.00"
"Delron 553 Litres - DDF-553 Showcase Display  Double Door Refrigerator - White","GH₵ 11,399.00"
"Westpool WP - 1508 A - 15Kg - Twin Tub Top Load Washing Machine - White/Blue","GH₵ 4,669.00"
"Durable Glass top 50x50 Oven with Grill 4 burner Gas Cooker- Grey.","GH₵ 2,399.00"
"Vizio  168 Litres - Upright Standing Freezer  - Grey","GH₵ 4,397.00"
"YD 157 Litres - Chest Freezer Deep Freezing Technology  -18 Degree  - Silver","GH₵ 3,826.00"
"Sneakers Women Breathable And Non Slip Shoes Women's Shoes Ladies","GH₵ 49.00"
"SXCHEN Women's Shoes Heeled Sandals Authentic Patent Leather High Heels Sandals","GH₵ 139.00"
"SXCHEN Ladies Shoes Sandals Toe Flowers Casual Flat Shoes Sandals","GH₵ 119.00"
"SXCHEN Women Fashion Shoes Sandals Thick Sole Ethnic Style Velcro Beach Sandals","GH₵ 139.00"
"BLWOENS Fashion Lace Up Sneakers Women's Shoes-White","GH₵ 89.00"
"Women  Shoes Walking  Flat Shoes Women Sneakers Women Female Shoes Girl Athletic","GH₵ 129.00"
"Women Shoes Sneakers Sport Shoes Running Sneakers Casual Sneakers-Gold","GH₵ 93.00"
"Ladies Fashional Sneakers Breathable And Antiskid For Women Sports Shoes with Butterfly Embroidery (EU size)","GH₵ 286.38"
"Women Shoes For Women Shoes Ladies","GH₵ 69.00"
"Low Top Lace-up Sneakers - Black","GH₵ 49.00"
"Women's Sneakers Ladies Shoes Women Shoes Breathable And Non Slip-Black","GH₵ 45.00"
"SXCHEN Women's Shoes Martin Boots Female British Style All-match Fashion Ladies Casual","GH₵ 159.00"
"Mateamoda Women Sandals Slippers Ladies Casual Shoes Heels Summer Shoes High-heeled Sandal","GH₵ 113.00"
"Shoes For Women Sneakers Ladies Shoes Sneakers","GH₵ 49.00"
"Women's Lace Up Canvas Sports Shoes","GH₵ 59.00"
"Baby Boy Cotton Sport Clothes Set Infant Toddler 1-18Y","GH₵ 95.94 - GH₵ 96.00"
"Baby Discovery 6 Way Adjustable Baby Carrier - Blue","GH₵ 96.00"
"Kids Projection Flashlight","GH₵ 180.00"
"Sleeveless Baby Girl Big Bow Dress Printed Cotton 2-piece Set With Visor—spliced Circle Set","GH₵ 81.00 - GH₵ 83.00"
"9 Pieces Baby Care Set - Multicolour","GH₵ 95.00"
"Catpapa 1-6 Years 2PCS Fashion Girl Short Sleeves Solid Top Floral Sling Dresses Summer","GH₵ 128.00"
"Excel Baby Care Set - Multicolour","GH₵ 340.00"
"Baby Feeding Bottle Set - 13 Pieces - Blue","GH₵ 189.00"
"Wooden Baby Cot With Music Seat - Brown","GH₵ 1,699.00"
"Genetic 2PC Baby Full Sleeve WaterProof Feeding Bibs -Red & Green","GH₵ 68.00"
"Remote Ride Rechargeable Car - Red/Black","GH₵ 945.00"
"High-Flying Fun Airplane Toy","GH₵ 200.00"
"Ghandour Cosmetics Baby Girl Powder - 180g","GH₵ 14.27"
"kid Clothes Romper Outfit baby Bodysuit Jumpsuit Party Suit","GH₵ 374.00"
"AD GALAXY  Feeding Bottle Set - Pink","GH₵ 40.00"
"Mens Hair Clippers Kit For Barber With LED Display","GH₵ 179.00"
"Men Perfumes & Solid Balm Set Fragrance","GH₵ 79.00"
"5-pack of comfy embroidered lettering shorts-M","GH₵ 920.00"
